Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20180331,CAF    ,201804     ,090159,82.2,2,-,-, 
20180331,CAF    ,201804     ,091025,82.6,6,-,-, 
20180331,CAF    ,201804     ,091025,82.7,8,-,-, 
20180331,CAF    ,201804     ,091025,82.7,14,-,-, 
20180331,CAF    ,201804     ,091026,82.7,2,-,-, 
20180331,CAF    ,201804     ,091219,82.3,4,-,-, 
20180331,CAF    ,201804     ,091219,82.3,4,-,-, 
20180331,CAF    ,201804     ,091219,82.3,4,-,-, 
20180331,CAF    ,201804     ,091219,82.3,4,-,-, 
20180331,CAF    ,201804     ,091219,82.3,4,-,-, 
20180331,CAF    ,201804     ,091219,82.3,4,-,-, 
20180331,CAF    ,201804     ,091219,82.3,4,-,-, 
20180331,CAF    ,201804     ,091219,82.3,4,-,-, 
20180331,CAF    ,201804     ,091219,82.3,4,-,-, 
20180331,CAF    ,201804     ,093502,82.4,4,-,-, 
20180331,CAF    ,201804     ,093510,82.4,2,-,-, 
20180331,CAF    ,201804     ,094718,82.3,2,-,-, 
20180331,CAF    ,201804     ,132244,82,2,-,-, 
20180331,CAF    ,201804     ,132244,82,2,-,-, 
20180331,CAF    ,201804     ,132244,82,2,-,-, 
20180331,CAF    ,201804     ,132245,81.8,2,-,-, 
20180331,CAF    ,201804     ,133727,81.9,2,-,-, 
20180331,CAF    ,201804     ,133744,83,2,-,-, 
20180331,CAF    ,201805     ,091025,82.6,8,-,-, 
20180331,CAF    ,201805     ,091025,82.6,12,-,-, 
20180331,CAF    ,201805     ,091025,82.6,2,-,-, 
20180331,CAF    ,201805     ,091026,82.6,2,-,-, 
20180331,CAF    ,201805     ,093510,82.3,2,-,-, 
20180331,CBF    ,201804     ,092605,23.6,8,-,-, 
20180331,CBF    ,201804     ,101943,23.55,2,-,-, 
20180331,CBF    ,201804     ,110437,23.55,14,-,-, 
20180331,CBF    ,201804     ,110437,23.55,6,-,-, 
20180331,CBF    ,201804     ,110437,23.55,12,-,-, 
20180331,CBF    ,201804     ,112535,23.5,2,-,-, 
20180331,CBF    ,201804     ,130418,23.55,2,-,-, 
20180331,CCF    ,201804     ,084851,15.55,4,-,-, 
20180331,CCF    ,201804     ,085043,15.55,4,-,-, 
20180331,CCF    ,201804     ,085052,15.55,4,-,-, 
20180331,CCF    ,201804     ,085456,15.5,6,-,-, 
20180331,CCF    ,201804     ,090024,15.55,20,-,-, 
20180331,CCF    ,201804     ,090028,15.55,2,-,-, 
20180331,CCF    ,201804     ,090323,15.5,4,-,-, 
20180331,CCF    ,201804     ,090323,15.5,8,-,-, 
